Cost,ID
940.75,ER-15418-010@0104
940.9,6960917@0211
940.95,6758888@0005
941.08,23011131@0005
941.28,700710807@2339
941.3,997045@1904
941.32,286745@0009
941.43,140029200@1954
941.52,1002-034@0461
941.68,P70CF-01-DE18-009A@0104
941.9,6757561@0005
942.18,356-9102-995@0018
942.2,V836752255@2339
942.3,52989@0161
942.48,GE408660@0047
942.5,365323@0653
942.53,841039000@0086
942.62,TM0722-116@0612
942.68,300342@0009
942.75,150-8080@1660
942.77,4307065M6@2339
942.8,PT121400041@2339
942.9,VS8792@0125
942.9,3778944M95@2339
942.97,29303PG@0830
943.03,7226@0152
943.05,3765729M91@2339
943.05,102460001@2130
943.07,31L2-1054@0612
943.3,VB659893430@2339
943.35,3754334@0563
943.38,G385301020090@2339
943.57,26008@2301
944.05,6884636@0005
944.05,6884641@0005
944.08,C19.2L 00995/200@1660
944.13,3201S8963@0107
944.17,70793@0151
944.42,AG027259@2339
944.57,627381C1@0096
944.67,104-1064-006@0015
944.88,VB659635600@2339
944.92,28064N@1489
944.92,F120233@0086
945.1,207-27-52150@0612
945.12,S1347@0043
945.17,11N3-40021@0612
945.17,707-71-31191@0612
945.18,9510368-4002@0115
945.18,WR41744@2339
945.3,140575@0278
945.3,S-2075@0043
945.32,04039100R@0278
945.35,06-460-522@1490
945.43,72270605@2339
945.6,0-531-613-504@0110
945.98,66905573@1607
946,100294@1630
946.18,028000-8320@1304
946.58,2000V1270@0107
946.78,5870-402-106@1623
946.88,804-260-45-05@0612
946.98,227326X@0009
947.17,G178600140011@2339
947.35,0501-214-216@1623
947.47,4620-319-043@1623
947.47,73140528@1137
947.53,7814.200@0885
947.53,F434628@0086
947.62,6666911@0211
948.02,4143-325-031@1623
948.22,3643754M91@2339
948.23,SD1237-10@0375
948.27,4166-436-381@1623
948.32,227520F@0120
948.32,312100050012@2339
948.33,69388@1630
948.37,YM123900-77010@1563
948.58,31EN-02011@0612
948.58,7123-21600@0612
948.58,XKBQ-00400@0612
948.87,71406366@2339
949.05,5002-AR3@0094
949.08,332-9922-023@0018
949.43,E503589@2339
949.47,F431966@0086
949.47,F433652@0086
949.52,GTA381304@2339
949.68,11036248@0115
949.73,2441U854R110@1945
949.73,348-9192-112@0018
949.85,175160600@1954
949.97,238408@0653
949.97,4699358@0879
950.02,4657-375-001@0612
950.22,414V47@1555
950.28,21EA-32112@0612
950.48,346-9203-249@0018
950.52,6662466@2339
950.9,2438U606F7@1945
950.97,76253@0151
951,TU2AS1280@2339
951.17,R902046164@1576
951.17,R902044981@1576
951.4,6833385@0005
951.45,R979009654@1576
951.65,6771131@0005
951.87,7102101@0211
951.9,3618141M93@2339
951.97,74L4-20201@0612
952.07,4460-318-078@1623
952.13,425-06-22852@1563
952.25,CA715388@2290
952.5,R141100RME@0107
952.53,A13102G4453@0107
952.77,3133W6887K@0107
952.82,P25X342BERN207@1679
952.87,4238170M1@2339
953.13,D28784387@2339
953.25,5002-B191@0094
953.6,3266T1086@0107
953.97,6777729@0005
954,6714003@0211
954.32,5002-BR2@0094
954.45,6831257@0005
954.53,6778441@0005
954.62,5002-A1159@0094
954.63,71413992@2339
954.67,051948500@1954
954.7,5002-EL4@0094
954.9,333-9122-059@0018
955.03,424-22-12610@1563
955.12,1077-09343-01@0140
955.12,1077-09343-01@0143
955.15,732112@2339
955.22,320-0589@2339
955.32,6960223@0211
955.4,CF5TT-10A3-DC12@0124
955.4,D05-A-FTT0-JL@0569
955.5,6220502@0066
955.5,903659@1983
955.53,6968893@0211
955.55,3085051@0317
955.58,4375215@2339
955.63,6961825@0211
955.68,6516089@0211
955.85,738446700@1954
955.92,203-26-61110@1563
956.22,826686900@0086
956.42,26160@1630
956.55,R902045179@1576
956.7,381-922752-2@1563
956.73,AL420722@2339
956.75,31108@0278
956.75,6759322@0005
956.75,0-510-615-012@0110
957,37-10163@0662
957.08,35D2-10712@0612
957.08,9371Y-A@0612
957.1,4301535M4@2339
957.45,5002-ER4@0094
957.5,3537-236@0382
957.62,SN7676@2339
957.63,3219W5015@0107
957.8,M5209171@0172
957.9,F055373@0086
957.9,MCH32AH1269@0115
958.3,Z63276T20@0107
958.37,145-06-54560@1563
958.37,385-10287071@1563
958.37,BW152165@1563
958.43,41A237941G1@0077
958.43,913551@0161
958.47,342180@0653
958.53,66133@2290
958.55,F039337@0086
958.6,279757@0009
958.62,3052084M92@2339
958.78,31Y1-08740S@0612
958.85,3903332M11@2339
958.9,D28085052@2339
959.18,273-2835@0933
959.3,AK1129@0125
959.38,208-26-31181@1563
959.45,23505124@0029
959.6,6804073@0211
959.65,V310188000@2271
959.73,3796993M11@2339
959.77,F015936@0086
960.08,5870-610-010@1623
960.17,2984047@0091
960.33,A3260A1353@0107
960.68,0190007150@0211
960.68,F055366@0086
960.88,70865@0278
960.88,SCL2225@0107
961.07,4143-315-036@0612
961.22,6641350@0211
961.37,F294410@0086
961.42,32302@0278
961.48,5019729@0009
961.48,5019728@0009
961.5,E-11624640@0163
961.5,E-82946093@0163
961.5,4275466M1@2339
961.63,6975106@0211
961.83,83372@1630
962.18,74L3-20302@0612
962.18,74L3-20292@0612
962.25,990012@1904
962.38,3817199M92@2339
962.4,893641DB@1905
962.6,701199C91@0096
962.6,9107-08J-AD1@1595
962.78,6660012@0211
962.8,E65011847@0107
963.02,3469897M91@2339
963.25,KH4-20SAE1114L@0028
963.25,304-110@1890
963.5,29836@1630
963.62,AG421709@2339
963.62,0427-1738@1098
963.65,6002-305-623@1623
963.7,81547-2@0211
963.8,K2365@0043
963.95,811119600@0086
963.98,707-96-01300@1563
963.98,GA467061-1002@1563
964,102207@1630
964.07,71396599@2339
964.08,562-15-12761@1563
964.1,4234053M1@2339
964.13,031-5110-00-0@0333
964.18,72274048@2339
964.33,6596965@2339
964.37,D26736038@2339
964.47,LA323182350@2339
964.6,4474-309-072@1623
964.63,4236353M1@2339
964.72,4337050@2339
964.92,348-9202-049@0018
964.98,14465001@1598
965.12,3892L5056@0107
965.17,3892W4807@0107
965.33,5139371@0029
965.35,658168C1@0096
965.48,13-01-085-019@0143
965.58,31N1-40021@0612
965.87,4282750M93@2339
966.35,2350750@0124
966.42,6754152@0005
966.57,1281379H91@0096
966.57,877665C91@0096
966.57,TY0456@0125
966.58,25062@1630
966.67,04054700@0278
966.68,3403-009@2407
966.75,60223@1464
966.75,102960@1630
966.82,93-12402MP-A@2323
966.82,1061827@2323
967.27,655811@1983
967.3,33522-00-21@0612
967.3,5D06420A-12@0612
967.3,5D06420A-11@0612
967.62,1017-01238-03@0140
967.63,A75202048@0107
967.9,3643760M91@2339
967.92,26020@1630
968.05,20Y-06-27150@1563
968.13,45851-76500@0697
968.23,7509-174@0382
968.25,42016012@1607
968.25,E-60111648@0163
968.25,1259-A145@1952
968.27,81441@0278
968.3,101491@0151
968.33,333376@0653
968.33,4700479@0879
968.58,6676354@0211
968.83,22320B@0158
968.9,25054308@0001
969,11L4-0151@0612
969,21L6-00052@0612
969,22L3-0113-20@0612
969.15,6837887@0005
969.18,51C0601RD1NT2D2NNX1ADA027@0115
969.48,252-1002-002@0015
969.78,5002-A1139@0094
969.93,GR16653690@2339
970.17,6665351@0211
970.35,23519972@0029
970.37,250S-99@0030
970.53,4143-302-012@0612
970.62,72201668@2339
970.75,31EG-99000@0612
970.83,71391414@2339
970.92,700715067@2339
970.92,27881@1630
971.08,72055@1630
971.08,N213007@2339
971.15,BG1807429@0107
971.27,VR4781@0125
971.27,2109680@2128
971.32,655503680@0612
971.35,4361475@2339
971.4,44677640@1607
971.47,R-2020-0P@1652
971.48,1-517-221-066@0110
971.5,PT540760350@2339
971.68,6190013002@0211
971.72,3637588M1@2339
971.8,6593886@0211
972.12,4657-375-006@0612
972.25,KU569119@2339
972.32,75D1-30010@0612
972.37,PT548601150@2339
972.38,XJDD-00622@0612
972.43,F039509@0086
972.45,0-511-315-602@0110
972.5,71EM-40013@0612
972.52,700138113@2339
972.75,16412N@1489
972.85,6598817@0211
972.93,DSV059X2S@0547
973.07,153210700@1954
973.33,147120800@1954
973.38,L031235@2339
973.43,29536196@0005
973.52,348-9192-132@0018
973.58,3551495M92@2339
973.73,4143-302-012@1623
973.8,06864003@0104
973.98,921477C1@0096
974.13,21E2-90110@0612
974.48,2871A502@1557
974.75,F284202090011@2339
975,20408106@0317
975.05,VA339800@2339
975.4,2-547-P08069-00@1385
975.48,6838725@0005
975.48,F013962@0086
975.5,DG5S-8-8C-E-T-VM-KUP6-D7-G5-30@0124
975.52,4460-265-214@1623
975.52,4460 265 214@0701
975.55,2389730@2003
975.57,6778598@0005
975.95,C45241-1@1680
976.15,6677442@0211
976.17,6772310@0005
976.2,4234570M1@2339
976.4,ZTAM-00283@0612
976.55,R921177826@1576
976.6,02-25-03446-351@1736
976.78,3534443M3@2339
977.1,CS157@1554
977.12,A7057-1@2339
977.52,991158@1904
977.68,AG136399@2339
977.7,102798101CC@0211
977.88,LA321827550@2339
977.93,1061441@2323
978,V4109DD217VS@1831
978.17,5900-21-A@0094
978.17,5900-21@0094
978.17,D898935@0094
978.28,826631700@0086
978.52,1S011266@0100
978.58,977487@0012
978.58,3811-663@0461
978.58,8HS798@1560
978.6,P25X378BERY1711@1679
978.68,2479U1305D2@1945
978.73,6771668@0005
978.88,3819B444@0107
978.88,73048433@1137
979.15,AG421372@2339
979.15,72501839@2339
979.17,M5256540@0172
979.22,6653548@0211
979.3,20200301@0066
979.5,9-510-290-145@1576
979.67,62673@1630
979.78,3809972M91@2339
979.82,A163111R2358@0107
980.05,309100050061@2339
980.13,3548264M91@2339
980.28,3911324@0020
980.32,841797400@0086
980.42,V9409216208@2073
980.42,72274861@2339
980.53,6880439@0005
980.63,154147900@1954
980.77,6653635@0211
980.8,23011249@0120
981.03,MD1010@2339
981.15,841058700@0086
981.15,H-110C-001-00@0135
981.17,AF1426@1768
981.25,VM0057@0125
981.32,2-547-P06279-00@1385
981.32,AK1130@0125
981.45,5870-320-016@1623
981.45,5870-048-129@1623
981.5,6811672@0211
981.55,20725@0278
981.65,D26850036@2339
981.67,416429@0124
981.73,7830-11-3700@1563
981.83,AL420723@2339
982,3812689M91@2339
982.25,111020006@2302
982.35,41C633846G1@0077
982.35,41C633846P1@0077
982.35,912838@0161
982.43,0017629U91@2339
982.6,31Y1-07960@0612
982.6,71L6-00261@0612
982.77,1671771W1R@2339
982.8,6504896@0211
982.8,6588903@0211
982.83,A3880D602@0107
983.28,3710857M91@2339
983.33,198-27-11590@1563
983.38,6669109@0211
983.42,923357@2003
983.43,V34947210@2339
983.55,991162@1904
983.9,1817482C2@2339
984.18,3971760@0317
984.18,507458@1660
984.2,2-547-817-999-00@1385
984.23,6835073@0005
984.3,E161-2100@0612
984.88,R-5050-2@1652
985.13,3318672M1@2339
985.2,01072800@0278
985.2,HV07-4199E@1620
985.32,6969071@0211
985.42,0512-405@2407
985.48,920804C91@0096
985.55,6707878@0211
985.77,1A63293@2339
985.88,544381D1@2339
986,31LG-20120@0612
986.02,198-06-55190@1563
986.1,A1290008-002@0317
986.25,231672@1972
986.25,3-1105A@0114
986.25,3-1105A@1451
986.25,R157406@0107
986.28,N858860@2339
986.33,991368@1904
986.37,839427M91@2339
986.52,VR1412@0125
986.72,86408M@1489
986.9,624451C1@0096
986.93,991446@1904
987.13,3973973@0317
987.13,60686-017@1535
987.17,102832@1630
987.73,21N4-32300@0612
987.75,991151@1904
987.78,4644-221-195@1623
987.9,2-078-082-271-00@1385
987.98,F018995@0086
988.02,6880286@0005
988.05,VJ6192@0125
988.3,565011C91@0096
988.32,21176925@1578
988.35,747014@1550
988.6,6960715@0211
988.73,D45165200@2339
988.83,6884079@0005
988.95,GTA362428@2339
989.02,151-0032@1660
989.07,0410-005@1653
989.07,KD1-150-K2@1653
989.13,709979C1@0096
989.17,3711270M92@2339
989.35,888508C1@0096
989.4,SF12C@0362
989.47,5100941@0029
989.47,TY8055@0125
989.47,3901576M10@2339
989.5,Z2DB6VC2-42/50@1576
989.85,F114974@0576
989.9,761652-B7-001@0547
989.98,WR38180@2339
990.03,7673-955-579@1623
990.28,842161400@0086
990.32,AG320374@2339
990.38,233-3049-001@0015
990.42,3904204M10@2339
991.12,31L7-20190@0612
991.25,R151105@0107
991.33,22641@1630
991.55,3891T1216@0107
991.67,4224297M91@2339
992.12,PB4719@0125
992.15,1732.204.002@2216
992.17,7095506@0922
992.25,544-2513-610@0933
992.33,3202F3906@0107
992.47,1-517-419-278@1578
992.55,6771763@0005
992.68,VA068460@2339
992.82,6779931@0005
992.85,23046397@0005
992.85,R921177110@1576
992.88,GR16616393@2339
993,VA9470@0125
993.3,990125@1904
993.3,990122@1904
993.53,725614@0125
993.68,F931502160020@2339
993.75,3802394@0020
994.17,27894@1630
994.3,WR125274@2339
994.7,8025137@0317
994.7,3799052M91@2339
994.73,TF0100AM020AAAB@0111
994.83,6675331@0211
995.03,6654182@0211
995.08,150N1108@1660
995.12,346-9203-153@0018
995.13,A5134@0043
995.18,DSG-03-3C60-D12-5090@0375
995.25,4646-303-330@1623
995.4,K034557@0009
995.63,2940347@2339
995.63,VA371388@2339
995.78,335621-11120@1589
995.85,20Y-977-A050@1563
995.9,0-510-325-012@0110
995.98,2-547-00W-999-00@1385
996.08,6717847@0211
996.33,6700545@0005
996.4,6512197@0211
996.48,WR41745@2339
996.5,AG028873@2339
996.62,286582X@0009
996.68,V20-7452@0091
996.73,S4008500740@0107
996.92,501105@1660
996.95,D28088431@2339
997.1,SCL5313@0107
997.12,F055363@0086
997.17,6006-022-180R@1623
997.25,4222553M91@2339
997.53,6677440@0211
997.85,6586723@0211
997.9,MCD-4403@0124
998.03,212912@0278
998.07,MCD-1683A@0124
998.08,31L3-04020@0612
998.08,31L3-04010@0612
998.42,715183C92@0096
998.52,R901126482@1576
998.63,GM20077498@2339
998.7,ZS-T02-A3-D28-DN36@0913
998.97,DH-425-2-1@2425
999.25,2063012220@0132
999.28,6662985@0211
999.28,6960680@0211
999.68,4644-330-245@1623
999.92,106047@1630
1000.13,FGA16-1500@0036
1000.17,6597405@0211
1000.28,24L3-00050@0612
1000.6,26351EJ3TL-71@0291
1000.95,6967742@0211
1000.97,6807445@0211
