QtyOnHand,ID
2,8880@2339
4,22698@2339
2,107606@2339
3,107767@2339
22,201438@2339
1,210154@2339
2,211597@2339
3,211831@2339
8,211936@2339
2,211972@2339
7,304620@2339
17,360550@2339
3,363065@2339
4,371674@2339
275,401116@2339
2,522548@2339
3,677197@2339
1,703480@2339
4,715270@2339
2,718104@2339
16,718761@2339
4,737938@2339
3,743304@2339
2,744451@2339
1,3698545M93@2339
2,3901574M10@2339
2,3812002M92@2339
4,3820068M92@2339
7,3821374M91@2339
8,3824169M92@2339
9,3800328M1@2339
3,3812234M3@2339
5,3812255M91@2339
8,3812233P94@2339
1,79017954@2339
2,AG120734@2339
2,7684-10@2339
3,707658@2339
4,AG504138@2339
6,700731210@2339
4,AG326215@2339
3,SN4987@2339
1,AG716948@2339
1,72291572@2339
1,WR22372@2339
3,SN5354@2339
4,700148892@2339
1,747904@2339
9,758300@2339
4,765076@2339
1,17628@2339
1,31446@2339
1,60673@2339
7,102974@2339
5,104441@2339
4,159657@2339
4,202796@2339
5,211859@2339
3,211908@2339
2,212022@2339
2,291442@2339
2,360442@2339
6,360630@2339
2,363073@2339
6,364827@2339
4,366528@2339
4,401367@2339
6,550267@2339
4,625180@2339
3,709424@2339
3,733505@2339
2,743517@2339
27,747292@2339
2,764704@2339
9,852887@2339
10,853643@2339
4,854438@2339
3,12138@2339
4,15736@2339
7,17680@2339
34,22772@2339
40,33387@2339
2,55389@2339
6,105101@2339
1,206959@2339
66,211883@2339
2,212026@2339
3,212445@2339
45,303767@2339
2,360528@2339
6,437517@2339
3,502737@2339
1,522537@2339
1,639207@2339
1,709280@2339
2,0-484-210-008@0110
1,0-510-325-012@0110
1,0-511-625-003@0110
3,0-512-601-601@0110
14,0-532-001-009@0110
1,0-532-001-038@0110
1,0-533-103-023@1578
17,0-810-090-208@0110
2,0-810-091-651@0110
2,0-813-236-959@0110
3,0-830-100-350@0110
2,0009440812@0132
2,000046@0612
3,000657@0612
1,000984@0612
2,001001-19012@0612
601,00105.1479@0612
1,001254000@1954
10,00175-0441-2500@0104
1,00175-1211-0890@0104
5,00187-2011-2100@0104
1,002111-06120@0612
2,713486@2339
3,719674@2339
1,734621@2339
10,736410@2339
1,738193@2339
8,744236@2339
4,745567@2339
4,747366@2339
3,762167@2339
4,765764@2339
7,854247@2339
2,854251@2339
2,854724@2339
22,855183@2339
1,1127366@2339
27,1142230@2339
4,1167430@2339
13,1714625@2339
4,2014918@2339
4,2301030@2339
7,2381210@2339
3,2389195@2339
16,3119757@2339
1,3392377@2339
2,AG236182@2339
3,74395916@2339
6,401490X1@2339
6,3779267M91@2339
2,3901874M1@2339
3,4222238M1@2339
4,3907810M1@2339
2,3777929M1@2339
26,3598493M2@2339
2,3809289M91@2339
5,3825001M91@2339
5,3473255M1@2339
6,3816377M91@2339
4,5015679M1@2339
1,4226173M91@2339
3,SN4813@2339
6,70206526@2339
2,79021864@2339
2,700720611@2339
19,AG705603@2339
2,WR120844@2339
29,1A60053@2339
6,700717391@2339
3,4144455@2339
3,4151131@2339
1,4302015@2339
3,4308247@2339
11,4314507@2339
9,4339157@2339
4,4345689@2339
4,4350286@2339
1,4351996@2339
4,4361788@2339
2,4367412@2339
3,4372891@2339
3,854462@2339
2,854523@2339
1,854620@2339
90,854662@2339
7,854743@2339
1,854822@2339
70,855200@2339
2,855344@2339
2,855587@2339
440,1107713@2339
4,1111875@2339
14,1116300@2339
1,002111-06180@0664
2,0-480-099-002@0110
1,0-510-415-005@0110
7,0-511-315-602@0110
1,0-511-645-303@0110
1,0-521-608-013@0110
1,0-532-001-034@0110
1,0-538-103-011@0110
8,000-921-50-73@0612
459,000089@0104
6,000611@0612
8,000692@0612
3,0009145580@0132
3,0009632323@0132
16,000969@0612
5,001002-32035@0612
1,001004-25013@0612
18,00105.1152@0612
1,001056300@1954
102,00210005@0104
1,002111-06200@0664
19,002125-2@0104
20,1122070@2339
13,1122458@2339
10,1139478@2339
10,1139722@2339
1,1211693@2339
6,1664614@2339
3,2953393@2339
2,3392202@2339
1,4310891@2339
3,4322152@2339
1,4336699@2339
1,4355986@2339
4,4357415@2339
6,4358704@2339
14,4363135@2339
2,762827@2339
4,765822@2339
3,828012@2339
4,852469@2339
4,852885@2339
7,853280@2339
12,853729@2339
2,854308@2339
1,854453@2339
8,SN8608-1@2339
2,AG331982@2339
11,747355@2339
16,SNRT568374@2339
98,70277396@2339
10,70259285@2339
11,3787651M1@2339
2,3901919M1@2339
2,3764497M91@2339
2,3817624M91@2339
4,3792698M1@2339
2,3785928M11@2339
9,3818221M91@2339
4,3824914M91@2339
9,3781228M1@2339
1,79016783@2339
2,1D88846-10@2339
1,72291614@2339
1,71516106@2339
1,WR15060@2339
1,4225094M91@2339
2,AG708500@2339
3,WR32320@2339
2,855242@2339
20,1137533@2339
5,1137633@2339
10,1144549@2339
3,1162023@2339
2,1168336@2339
1,1173074@2339
4,1175921@2339
11,1308146@2339
1,1703933@2339
14,2101332@2339
3,2332785@2339
1,2384119@2339
3,2912721@2339
1,4001551@2339
1,4309039@2339
1,4309138@2339
4,4311628@2339
685,47097@2339
141,60116@2339
40,69922@2339
4,105891@2339
6,108151@2339
1,203050@2339
4,002132-411130@0612
31,00245013@0104
72,00255264@0104
9,0-450-904-005@0110
1,0-460-416-049@0110
1,0-510-515-308@0110
1,0-510-545-001@0110
1,0-514-500-014@0110
14,0-531-602-615@0110
2,0-810-040-958@0110
2,0-810-091-262@0110
1,0-986-618-121@0110
3,000-908-02-35@0612
5,001-015-110@1645
3,002031-32130@0612
1,00211-00-00-2216@0104
20,00211-0000-2303@0104
2,002132-411122@0612
8,002140@0612
2,00223512@1607
3,002331-25150@0612
28,002876-2@0137
1,210963@2339
22,211904@2339
1,211948@2339
4,212062@2339
1,360803@2339
2,364486@2339
3,366330@2339
4,401091@2339
3,521076@2339
1,639154@2339
7,701268@2339
2,705871@2339
3,732251@2339
4,737029@2339
1,743160@2339
2,747824@2339
1,763503@2339
2,847699@2339
7,851201@2339
2,853038@2339
5,853805@2339
2,4322181@2339
4,4333802@2339
14,4341892@2339
4,SN8096@2339
12,AG028076@2339
4,72291517@2339
5,L028031@2339
1,SN7264@2339
17,3587532M91@2339
2,700718302@2339
6,L018183@2339
28,AG519028@2339
7,3599489M91@2339
5,3779270M91@2339
5,3779238M91@2339
3,4222738M91@2339
3,3597712M92@2339
8,1693990M95@2339
8,3597045M93@2339
5,3809283M91@2339
7,3816956M93@2339
3,3783267M93@2339
7,3771965M1@2339
5,3813545M1@2339
2,3778211M1@2339
5,3815988M91@2339
4,4346450@2339
3,4348101@2339
1,4353168@2339
7,4356441@2339
16,6182281@2339
5,6247183@2339
11,6251721@2339
1,6537198@2339
1,6550168@2339
12,6564884@2339
1,6580663@2339
2,6599567@2339
7,6617226@2339
4,6620514@2339
3,6625394@2339
3,6626611@2339
4,6652947@2339
3,6654922@2339
10,6662392@2339
27,6662427@2339
4,6664227@2339
7,6664296@2339
4,7040462@2339
5,7078892@2339
4,00292812@1607
1,00295012@1607
1,003001-25000@0612
23,003019@0612
4,0-481-064-303@0110
3,0-486-203-008@0110
4,0-510-445-300@0110
3,0-510-525-324@0110
2,0-510-645-300@0110
1,0-986-013-490@0110
8,00-0002299@0628
3,000-914-55-80@0132
5,000.963.02.12@0612
4,00007912@1607
21,0002690@2002
1,000352@0612
1,000587@0612
1,000632@0612
3,000639@0612
1,000971@0612
1,001002-19016@0612
1,00102312@1607
92,16573@2339
30,17608@2339
3,21986@2339
56,26799@2339
22,60443@2339
6,103638@2339
1,104027@2339
1,211842@2339
2,211906@2339
10,212018@2339
6,360565@2339
2,363155@2339
3,364828@2339
51,366336@2339
3,366768@2339
4,492832@2339
1,707195@2339
2,718629@2339
1,737406@2339
6,743178@2339
5,747078@2339
2,763334@2339
5,765335@2339
66,774638@2339
7,1D9938@2339
9,700726169@2339
1,WR125429@2339
8,30-3133443@2339
2,700128134@2339
1,72291640@2339
4,4265962M91@2339
1,70250325@2339
1,SN8127@2339
4,3511168M1@2339
2,1082546M1@2339
10,303595@2339
3,3698710M3@2339
3,AG522367@2339
8,3904372M91@2339
2,3781620M2@2339
4,3781422M1@2339
2,3800317M91@2339
6,3771024M1@2339
3,CL643716C2@2339
3,700135192B@2339
3,71515211@2339
1,SNMT-1078@2339
8,00105.1359@0612
2,001141500@1954
4,001172-6G@0104
5,00162412@1607
1,002011-06130@0612
6,00202.1211@0612
120,0-5054-0616@1928
2,0-510-445-001@0110
16,0-511-415-605@0110
1,0-532-006-028@0110
3,00-002096@0628
2,000006@0612
6,00020998@1607
3,00089898@1607
165,0009204003@2110
2,0009247342@0132
5,00093112@1607
80,001-010-003@1645
2,001001-19012@0664
5,001002-32035@0664
1,001143500@1954
4,00132412@1607
4,AG504541@2339
2,AG705095@2339
3,L018290@2339
34,AG028725@2339
15,AG713280@2339
3,AG423929@2339
3,1081802M1@2339
2,3635533M1@2339
2,72291623@2339
2,700136479@2339
1,2802036M91@2339
3,CL542956C0@2339
29,4307368@2339
6,401488X1@2339
11,674754M2@2339
2,3540006M91@2339
2,3820045M91@2339
8,3811700M1@2339
3,3812052M91@2339
3,1645878M1@2339
1,3813460M91@2339
2,3824872M1@2339
6,3822254M91@2339
1,802330@2339
43,852826@2339
3,853501@2339
2,854259@2339
4,853943@2339
1,854379@2339
7,854617@2339
14,854982@2339
7,855240@2339
3,855604@2339
1,907655@2339
21,1100596@2339
1,1101543@2339
20,1110539@2339
1,1125680@2339
20,1138805@2339
3,1174849@2339
2,1178421@2339
3,1299588@2339
1,2325486@2339
6,2383780@2339
1,2425323@2339
3,4308991@2339
4,4311057@2339
2,0015-00038-0@2136
1,00208-2154-0100@0104
2,002111-06080@0664
1,00214-0006-0203@0104
38,00233-0000-150@0104
190,002522-2@0104
2,003007200@1954
2,003024800@1954
2,0-510-665-337@0110
1,0-510-725-029@0110
3,0-511-545-001@0110
3,0-810-091-211@0110
3,0-831-005-030@0110
16,00-030882@0628
2,000-301-022-240@2267
300,000088@0104
5,0007-L-010P@0087
2,001-002-25300@0612
3,001003-25130@0612
2,00105.1526@0612
26,0013-0800@0104
5,00161498@1607
1,00161598@1607
2,4326165@2339
3,4342252@2339
5,4356972@2339
1,4363534@2339
2,4364140@2339
4,4366676@2339
4,4373311@2339
1,4379829@2339
5,5163961@2339
23,6214132@2339
7,6226302@2339
2,6251068@2339
4,6511664@2339
1,6549448@2339
3,6557933@2339
59,6568555@2339
3,6581527@2339
4,6599443@2339
3,6606841@2339
10,6613640@2339
3,6617937@2339
5,6624348@2339
5,6626617@2339
4,6633720@2339
3,3818177M91@2339
3,3697015M1@2339
3,3606466M91@2339
4,AG725187@2339
24,79028753@2339
11,1D8374@2339
12,WR41687@2339
4,700149247@2339
7,40-3094653@2339
1,1R1306@2339
3,SN4084019@2339
10,SNMT-1076@2339
1,AG523578@2339
5,1R61842@2339
2,76032581@2339
11,3539300M3@2339
4,AG223800@2339
15,AG027097@2339
4,3541801M91@2339
1,3551590M91@2339
18,1612096M1@2339
3,1662805M1@2339
3,3811273M91@2339
1,6653351@2339
10,6655013@2339
8,6662563@2339
1,6668184@2339
1,6835185@2339
167,7704877@2339
4,9922943@2339
5,34130213@2339
1,34950451@2339
1,50281091@2339
3,1183@2339
3,12709@2339
26,13924@2339
7,15633@2339
4,17367@2339
14,17739@2339
7,19087@2339
1,47922@2339
2,202084@2339
3,203575@2339
4,206906@2339
1,211565@2339
10,211711@2339
5,211803@2339
62,001879-2@0104
6,002062901@0612
60,002124-1@0104
1,0022595715-001@1620
8,00233-0000-1100@0104
21,00240003@0104
14,002443@0104
104,00245006M@0104
6,00253598@0091
500,002560@0104
2,00295712@1607
14,003-00035-1@0250
2,003-90-40345@0163
1,003002-19024@0612
50,00363945@0104
45,00364773@0104
27,00364857@0104
1,004011-13702@0612
20,005076-2@0104
10,007-0660-00-0@0333
110,00928001@0104
10,009 529 00@0941
2,00A-10946-077@0105
5,211845@2339
7,212017@2339
10,212037@2339
4,300617@2339
2,363217@2339
3,366005@2339
2,366543@2339
1,400681@2339
2,492800@2339
1,521071@2339
7,704891@2339
1,712316@2339
1,731738@2339
11,52559@2339
1,105137@2339
2,107738@2339
1,107769@2339
3,107998@2339
4,206908@2339
1,211716@2339
5,211820@2339
4,360499@2339
2,366004@2339
4,366531@2339
1,A7057-1@2339
4,3504532M1@2339
2,4385381@2339
4,700127528@2339
2,31-2747607@2339
3,72291624@2339
1,71149619@2339
4,AG012898@2339
3,AG309640@2339
3,744867@2339
1,4226164M1@2339
1,72291566@2339
2,AG331984@2339
2,AG708444@2339
3,861542@2339
1,WR26553@2339
1,AG424427@2339
2,3589384M92@2339
1,1A63293@2339
1,AG027259@2339
1,72277010@2339
10,3825563M91@2339
1,3821017M91@2339
4,366701@2339
3,400658@2339
2,716697@2339
3,719367@2339
64,732655@2339
1,734394@2339
30,735147@2339
7,736998@2339
3,743945@2339
2,745143@2339
7,746016@2339
3,765579@2339
12,827196@2339
6,852457@2339
2,854531@2339
2,854635@2339
5,3658@2339
20,11802@2339
10,13237@2339
4,17664@2339
23,22729@2339
34,32371@2339
12,55311@2339
21,60693@2339
16,00RWP4@0612
2,01-127-0010@0379
4,01-5540-82@1824
6,010021778@0140
1200,01010-81660@1564
320,01010-82295@1564
16,01015700@0278
4,01153-50865@0217
2,0118-0663@1098
21,012-0890-00-0@0333
2,012231700@1954
53,00363782@0104
10,00365102@0104
9,004001-25000@0612
1,004011-13702@0664
6,004527@0104
8,00486098@1607
12,005.04.0504@0612
1,00501398@1607
10,005035@1165
400,005232-2@0104
6,005343813S@1196
2,0060D020BN-2@0087
1,202856@2339
2,210459@2339
1,211718@2339
1,212014@2339
43,212404@2339
14,303416@2339
4,400175@2339
6,444618@2339
3,639574@2339
4,714384@2339
10,719298@2339
7,728949@2339
10,736409@2339
7,737209@2339
1,738386@2339
1,762769@2339
1,844662@2339
5,853307@2339
2,853791@2339
3,854407@2339
4,854876@2339
2,855422@2339
4,860577@2339
6,1105068@2339
7,1110867@2339
8,1111566@2339
13,1117888@2339
2,1119824@2339
4,1124773@2339
1,1141212@2339
4,1178523@2339
12,1904654@2339
3,2235883@2339
7,2373279@2339
4,2374896@2339
1,2386208@2339
11,2985063@2339
20,4144874@2339
2,4309040@2339
1,4310963@2339
3,4342503@2339
1,4347796@2339
4,4353999@2339
6,4355060@2339
2,4357854@2339
1,4362732@2339
17,1100906@2339
7,1102299@2339
6,3819609M93@2339
3,3821173M93@2339
5,3806772M92@2339
5,3823515M91@2339
2,3821154M92@2339
1,1509000@2339
2,CL694135C1@2339
4,4226178M1@2339
3,700148933@2339
4,L063015@2339
3,SN4180018@2339
4,3107826M1@2339
2,AG332221@2339
9,AG610663@2339
9,3500047M4@2339
3,AG326440@2339
2,AG228764@2339
1,CL542890C1@2339
1,72217338@2339
1,WR27055@2339
1,AG704211@2339
1,SN5019@2339
1,1425141M1@2339
6,00669498@1607
3,007007-09801@0612
21,008011-5@0104
5,009001-07140@0612
2,009896200@1954
15,01-4811-87@1824
5,01-5534-81@1824
9,01-5540-83@1824
9,01010-62285@1563
3,01010-81055@1563
347,01010-82275@1564
32,0108-11B-00@0612
8,00203-2110-0101@0104
7,002112551S@1851
3,00216001@0104
1,002225-711824@0612
2,00223612@1607
2,002272@0125
197,002521-2@0104
139,00255283@0104
1,00281398@1607
45,00362962@0104
35,00363441@0104
41,1136451@2339
7,1139452@2339
4,1172970@2339
14,1713833@2339
1,2928013@2339
1,3309188@2339
1,4144660@2339
27,4311718@2339
1,4318621@2339
3,4351842@2339
9,4358252@2339
15,4363136@2339
3,4367510@2339
1,4378229@2339
3,4391830@2339
3,6247373@2339
2,6280770@2339
4,6562045@2339
4,6585010@2339
2,6596502@2339
4,6599385@2339
4,6617341@2339
10,6617874@2339
7,6620342@2339
1,AG716957@2339
14,SNRT568399@2339
1,707488@2339
1,79017823@2339
1,WR40428@2339
1,4375215@2339
1,72291382@2339
1,CL11015C4@2339
1,AG504136@2339
1,6627236@2339
1,1A63733@2339
1,3778P051@2339
1,3638001M91@2339
1,1888303M1@2339
1,1076713M91@2339
1,3541331M1@2339
1,WR32740@2339
10,72291651@2339
1,72161288@2339
1,050735R1@2339
1,CL643720C1@2339
1,72526794@2339
1,CL662627C0@2339
4,00364955@0104
10,004008-32A18@0612
4,004012-32000@0612
1,005003-32024@0664
1,005210-2@0104
3,005516100@1954
750,006039-6@0104
1,007001-0290P@0612
6,00772540@0163
10,00785250@0104
3,00793090@0163
7,008004-19210@0612
25,008101-1@0104
876,008254-2@0104
5,0-486-107-101@0110
1,0-511-525-604@0110
5,0-810-001-760@0110
3,0-810-091-206@0110
2,0-811-024-105@0110
2,0-830-100-358@0110
7,0-986-612-311@0110
7,0-C20-149-999-00@1385
3,000-914-55-80@0612
1,1048716M1@2339
1,72291446@2339
1,NB5823535W@2339
1,AG714585@2339
73,AG239466@2339
3,W7015-36@2339
1,AG260747@2339
2,CL662373C2@2339
4,259633M1@2339
1,AG504245@2339
1,72217404@2339
1,1660714M1@2339
1,72217546@2339
1,CL675941C2@2339
1,AG514027@2339
1,6580554@2339
1,3551145M91@2339
1,AB297394@2339
1,3146810M91@2339
1,4353837@2339
1,1082184M91@2339
1,3555338M91@2339
1,700716192@2339
4,6620521@2339
4,736659@2339
15,761742@2339
4,852315@2339
6,852332@2339
2,853043@2339
1,854288@2339
2,854705@2339
1,854833@2339
5,855260@2339
174,1104771@2339
4,1136420@2339
5,1137497@2339
1,1161087@2339
4,1172623@2339
2,1175696@2339
1,1661850@2339
6,2376212@2339
1,2386245@2339
2,3400761@2339
2,4301196@2339
4,4306738@2339
1,4337934@2339
3,4340997@2339
3,4343916@2339
2,4349707@2339
3,4350714@2339
7,4358251@2339
2,854317@2339
1,854354@2339
2,854559@2339
2,854611@2339
500,1101455@2339
4,1109970@2339
4,1162060@2339
3,1168775@2339
1,1307965@2339
7,1665504@2339
1,2085289@2339
1,2232288@2339
1,2911578@2339
4,4143171@2339
7,4154044@2339
3,4303982@2339
1,4311703@2339
4,4313563@2339
1,4317036@2339
1,4333727@2339
1,72277222@2339
1,579876M91@2339
1,3648888M91@2339
1,105808@2339
1,3755243M1@2339
1,3595710M93@2339
1,NB5823536W@2339
1,79016784@2339
3,AG323170@2339
1,72277502@2339
1,CL646856C2@2339
1,AG307186@2339
1,NB5823565W@2339
1,72275887@2339
1,33-0055883@2339
5,AG420652@2339
5,AG120844@2339
1,761925@2339
1,1081788M91@2339
1,72275120@2339
1,1097051M1@2339
1,W401404E@2339
2,SN5226@2339
3,000.963.23.23@0612
5,000053@0612
16,000962@0612
1,001018-19065@0612
6,001248@0612
1,002111-06200@0612
11,00240004@0104
10,00255275@0104
4,00305698@1607
3,00312998@1607
6,003310800@1954
10,00363543@0104
24,00363804@0104
95,00364383@0104
29,004737-2@0104
5,011001-19B10@0612
1,01103600@0278
5,011097-2@0104
56,011148-2@0104
1,011184000@1954
2,011349-2@0104
4,0118-2039@1098
12,0118-2236@1098
4,AG122236@2339
1,72258140@2339
1,71514459@2339
1,AG322583@2339
1,1R60862@2339
1,3541213M91@2339
1,AG313771@2339
1,WR28083@2339
2,AG422074@2339
1,33-0130931@2339
1,3709608M91@2339
1,3612530M92@2339
5,WR138322@2339
1,3596294M2@2339
1,AG423637@2339
1,3505152M1@2339
1,3555339M91@2339
1,5161247@2339
5,WR138320@2339
1,3512270M1@2339
1,33-0145432@2339
1,72291457@2339
1,WR121277@2339
1,4341348@2339
4,4343468@2339
4,4345917@2339
4,4352806@2339
1,4357380@2339
1,4358261@2339
1,4365478@2339
4,4370783@2339
