websites,sku,product_id,part_number,mfg_code,mfg_name,manufacturer_name,ship_method,category_name,sub_category,category_ids,stripped_part,store,attribute_set,type,root_category,product_websites,color,cost,vpd_cost,shipping_note,country_of_manufacture,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,has_options,image,image_label,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,Description,options_container,page_layout,price,required_options,short_description,url_key,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
base,1R0734@0012,1R0734@0012,1R0734,12,CATERPILLAR,CATERPILLAR,,filters,,"102,",1R0734,0,Default,simple,Default Category,base,,1.24,1.24,,,,,,,1R0734-OIL FILTER,,,0,,,,,,,,,Use config,Use config,1R0734-OIL FILTER,1R0734-OIL FILTER,Product Info Column,,12.07,0,CATERPILLAR,1R0734-CATERPILLAR,,,,,,Enabled,None,,,,,,"Catalog, Search",0,1,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
base,1229U1009@0107,1229U1009@0107,1229U1009,107,MERITOR INC,MERITOR INC,,general,washer,"178,319",1229U1009,0,Default,simple,Default Category,base,,2.39,2.39,,,,,,,1229U1009-WASHER,,,0,,,,,,,,,Use config,Use config,1229U1009-WASHER,1229U1009-WASHER,Product Info Column,,13.98,0,MERITOR INC,1229U1009-MERITOR INC,,,,,,Enabled,None,,,,,,"Catalog, Search",0,6,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
base,73077057@1137,73077057@1137,73077057,1137,FIAT ALLIS,FIAT ALLIS,,general,washer,"178,319",73077057,0,Default,simple,Default Category,base,,2.39,2.39,,,,,,,73077057-WASHER,,,0,,,,,,,,,Use config,Use config,73077057-WASHER,73077057-WASHER,Product Info Column,,13.98,0,FIAT ALLIS,73077057-FIAT ALLIS,,,,,,Enabled,None,,,,,,"Catalog, Search",0,6,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
base,841107800@0086,841107800@0086,841107800,86,TIMBERJACK,TIMBERJACK,,general,washer,"178,319",841107800,0,Default,simple,Default Category,base,,2.39,2.39,,,,,,,841107800-WASHER,,,0,,,,,,,,,Use config,Use config,841107800-WASHER,841107800-WASHER,Product Info Column,,13.98,0,TIMBERJACK,841107800-TIMBERJACK,,,,,,Enabled,None,,,,,,"Catalog, Search",0,6,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
base,R002304@0107,R002304@0107,R002304,107,MERITOR INC,MERITOR INC,,general,washer,"178,319",R002304,0,Default,simple,Default Category,base,,2.39,2.39,,,,,,,R002304-WASHER,,,0,,,,,,,,,Use config,Use config,R002304-WASHER,R002304-WASHER,Product Info Column,,13.98,0,MERITOR INC,R002304-MERITOR INC,,,,,,Enabled,None,,,,,,"Catalog, Search",0,6,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
base,AG515231@2339,AG515231@2339,AG515231,2339,AGCO,AGCO,,Replacement Parts,,"120,",AG515231,0,Default,simple,Default Category,base,,3.43,3.43,,,,,,,AG515231-NUT,,,0,,,,,,,,,Use config,Use config,AG515231-NUT,AG515231-NUT,Product Info Column,,15.72,0,AGCO,AG515231-AGCO,,,,,,Enabled,None,,,,,,"Catalog, Search",0,12,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
base,06030-06008@1563,06030-06008@1563,06030-06008,1563,KOMATSU AMERICA,KOMATSU AMERICA,,general,ring,"178,312",603006008,0,Default,simple,Default Category,base,,4.04,4.04,,,,,,,06030-06008-BEARING,,,0,,,,,,,,,Use config,Use config,06030-06008-BEARING,06030-06008-BEARING,Product Info Column,,16.73,0,KOMATSU AMERICA,603006008-KOMATSU AMERICA,,,,,,Enabled,None,,,,,,"Catalog, Search",0,541,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
base,94789@0797,94789@0797,94789,797,TRUCK LITE,TRUCK LITE,,Replacement Parts,,"120,",94789,0,Default,simple,Default Category,base,,4.14,4.14,,,,,,,94789-SIGNAL ADA,,,0,,,,,,,,,Use config,Use config,94789-SIGNAL ADA,94789-SIGNAL ADA,Product Info Column,,16.9,0,TRUCK LITE,94789-TRUCK LITE,,,,,,Enabled,None,,,,,,"Catalog, Search",0,3,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
base,SV8768@0125,SV8768@0125,SV8768,125,KOMATSU AMERICA,KOMATSU AMERICA,,Replacement Parts,,"120,",SV8768,0,Default,simple,Default Category,base,,4.91,4.91,,,,,,,SV8768-BRG CUP,,,0,,,,,,,,,Use config,Use config,SV8768-BRG CUP,SV8768-BRG CUP,Product Info Column,,18.18,0,KOMATSU AMERICA,SV8768-KOMATSU AMERICA,,,,,,Enabled,None,,,,,,"Catalog, Search",0,3,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
base,20490@0043,20490@0043,20490,43,EATON - FULLER,EATON - FULLER,,general,pin,"178,",20490,0,Default,simple,Default Category,base,,5.08,5.08,,,,,,,20490-PIN,,,0,,,,,,,,,Use config,Use config,20490-PIN,20490-PIN,Product Info Column,,18.47,0,EATON - FULLER,20490-EATON - FULLER,,,,,,Enabled,None,,,,,,"Catalog, Search",0,2,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
base,4302398@0043,4302398@0043,4302398,43,EATON - FULLER,EATON - FULLER,,general,washer,"178,319",4302398,0,Default,simple,Default Category,base,,5.08,5.08,,,,,,,4302398-WASHER,,,0,,,,,,,,,Use config,Use config,4302398-WASHER,4302398-WASHER,Product Info Column,,18.47,0,EATON - FULLER,4302398-EATON - FULLER,,,,,,Enabled,None,,,,,,"Catalog, Search",0,2,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
base,95262@0043,95262@0043,95262,43,EATON - FULLER,EATON - FULLER,,Replacement Parts,,"120,",95262,0,Default,simple,Default Category,base,,5.69,5.69,,,,,,,95262-NUT,,,0,,,,,,,,,Use config,Use config,95262-NUT,95262-NUT,Product Info Column,,19.48,0,EATON - FULLER,95262-EATON - FULLER,,,,,,Enabled,None,,,,,,"Catalog, Search",0,4,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
