websites,sku,product_id,part_number,mfg_code,mfg_name,manufacturer_name,ship_method,category_name,sub_category,category_ids,stripped_part,store,attribute_set,type,root_category,product_websites,color,vpd_cost,cost,shipping_note,country_of_manufacture,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,has_options,image,image_label,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,Description,options_container,page_layout,price,supplier,required_options,short_description,url_key,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
base,4T56425@NTN BEARING,4T56425@NTN BEARING,4T56425,NTN BEARING,NTN BEARING,NTN BEARING,,Replacement Parts,,120,4T56425,8460,Default,simple,Default Category,base,,51.86,86.43,,,,,,,4T56425-BEARING,,,0,,,,,,,,,Use config,Use config,4T56425-BEARING,4T56425-BEARING,Product Info Column,,86.43,,,NTN BEARING,4T56425-BEARING,,,,,,Enabled,None,,,,,,"Catalog, Search",4,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,4T-74500/74850@NTN BEARING,4T-74500/74850@NTN BEARING,4T-74500/74850,NTN BEARING,NTN BEARING,NTN BEARING,,Replacement Parts,,120,4T-74500/74850,8461,Default,simple,Default Category,base,,301.75,502.92,,,,,,,4T-74500/74850-BEARING SET,,,0,,,,,,,,,Use config,Use config,4T-74500/74850-BEARING SET,4T-74500/74850-BEARING SET,Product Info Column,,502.92,,,NTN BEARING,4T-74500/74850-BEARING SET,,,,,,Enabled,None,,,,,,"Catalog, Search",16,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,4T-74525/74850@NTN BEARING,4T-74525/74850@NTN BEARING,4T-74525/74850,NTN BEARING,NTN BEARING,NTN BEARING,,Replacement Parts,,120,4T-74525/74850,8462,Default,simple,Default Category,base,,299.24,498.73,,,,,,,4T-74525/74850-BEARING SET,,,0,,,,,,,,,Use config,Use config,4T-74525/74850-BEARING SET,4T-74525/74850-BEARING SET,Product Info Column,,498.73,,,NTN BEARING,4T-74525/74850-BEARING SET,,,,,,Enabled,None,,,,,,"Catalog, Search",16,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,4T-HM911210@NTN BEARING,4T-HM911210@NTN BEARING,4T-HM911210,NTN BEARING,NTN BEARING,NTN BEARING,,Replacement Parts,,120,4T-HM911210,8463,Default,simple,Default Category,base,,30.98,51.63,,,,,,,4T-HM911210-BEARING CUP,,,0,,,,,,,,,Use config,Use config,4T-HM911210-BEARING CUP,4T-HM911210-BEARING CUP,Product Info Column,,51.63,,,NTN BEARING,4T-HM911210-BEARING CUP,,,,,,Enabled,None,,,,,,"Catalog, Search",2,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,4T-HM911245[J100]@NTN BEARING,4T-HM911245[J100]@NTN BEARING,4T-HM911245[J100],NTN BEARING,NTN BEARING,NTN BEARING,,Replacement Parts,,120,4T-HM911245[J100],8464,Default,simple,Default Category,base,,62.49,104.15,,,,,,,4T-HM911245[J100]-CONE,,,0,,,,,,,,,Use config,Use config,4T-HM911245[J100]-CONE,4T-HM911245[J100]-CONE,Product Info Column,,104.15,,,NTN BEARING,4T-HM911245[J100]-CONE,,,,,,Enabled,None,,,,,,"Catalog, Search",3,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,4T-JM515610PK[J100]@NTN BEARING,4T-JM515610PK[J100]@NTN BEARING,4T-JM515610PK[J100],NTN BEARING,NTN BEARING,NTN BEARING,,Replacement Parts,,120,4T-JM515610PK[J100],8465,Default,simple,Default Category,base,,26.38,43.97,,,,,,,4T-JM515610PK[J100]-BEARING,,,0,,,,,,,,,Use config,Use config,4T-JM515610PK[J100]-BEARING,4T-JM515610PK[J100]-BEARING,Product Info Column,,43.97,,,NTN BEARING,4T-JM515610PK[J100]-BEARING,,,,,,Enabled,None,,,,,,"Catalog, Search",1,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,4T-M231649[J100]@NTN BEARING,4T-M231649[J100]@NTN BEARING,4T-M231649[J100],NTN BEARING,NTN BEARING,NTN BEARING,,Replacement Parts,,120,4T-M231649[J100],8466,Default,simple,Default Category,base,,231.28,385.47,,,,,,,4T-M231649[J100]-BEARING CONE,,,0,,,,,,,,,Use config,Use config,4T-M231649[J100]-BEARING CONE,4T-M231649[J100]-BEARING CONE,Product Info Column,,385.47,,,NTN BEARING,4T-M231649[J100]-BEARING CONE,,,,,,Enabled,None,,,,,,"Catalog, Search",9,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,4X13951@ROCKWELL,4X13951@ROCKWELL,4X13951,ROCKWELL,ROCKWELL,ROCKWELL,,Replacement Parts,,120,4X13951,8467,Default,simple,Default Category,base,,5.13,8.55,,,,,,,4X13951-STUD,,,0,,,,,,,,,Use config,Use config,4X13951-STUD,4X13951-STUD,Product Info Column,,8.55,,,ROCKWELL,4X13951-STUD,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,4-X-13951@ROCKWELL,4-X-13951@ROCKWELL,4-X-13951,ROCKWELL,ROCKWELL,ROCKWELL,,Replacement Parts,,120,4-X-13951,8468,Default,simple,Default Category,base,,5.13,8.55,,,,,,,4-X-13951-STUD,,,0,,,,,,,,,Use config,Use config,4-X-13951-STUD,4-X-13951-STUD,Product Info Column,,8.55,,,ROCKWELL,4-X-13951-STUD,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,5/16 LOCKWASHER@MISCELLANEOUS,5/16 LOCKWASHER@MISCELLANEOUS,5/16 LOCKWASHER,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,,Replacement Parts,,120,5/16 LOCKWASHER,8469,Default,simple,Default Category,base,,0.11,0.18,,,,,,,5/16 LOCKWASHER-LOCK WASHER,,,0,,,,,,,,,Use config,Use config,5/16 LOCKWASHER-LOCK WASHER,5/16 LOCKWASHER-LOCK WASHER,Product Info Column,,0.18,,,MISCELLANEOUS,5/16 LOCKWASHER-LOCK WASHER,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
